architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
234x234,local_tsce,task_plus_reg,probe_if_beta1_cap1,3,2.2907002429865253,0.0506200924784457,1.6826134885245996,0.03579219129666446,35.513698630136986,0.40030649436713056,0.0,0.0045662100456621,,,0.6610495846010768,0.015017711508462601,0.41024857269367687,0.010328899759391824,10.248532429757107,0.004737769777458671,0.0,0.007908907797118161,0.0,0.0
234x234,local_tsce,task_plus_reg,probe_lif_beta05_cap1,3,0.05802223694867831,0.0506200924784457,0.12982370586372335,0.0009065974523230986,0.8995433789954337,0.40030649436713056,0.0,0.7077625570776256,,,0.05185636662529028,0.015017711508462601,0.035629683010674644,0.0008102557285201606,0.8039512729886611,0.004737769777458671,0.0,0.2553916016768038,0.0,0.0
234x234,local_tsce,task_plus_reg,probe_lif_beta05_cap31,3,0.05802223694867831,0.0506200924784457,0.12982370586372335,0.0009065974523230986,0.8995433789954337,0.40030649436713056,0.0,0.7077625570776256,,,0.05185636662529028,0.015017711508462601,0.035629683010674644,0.0008102557285201606,0.8039512729886611,0.004737769777458671,0.0,0.2553916016768038,0.0,0.0
34x234,e2e_wc,task_only,native_e2e_lif,3,9.608129003755247,0.26887331250124064,0.44095607561219036,0.15012701568367573,148.95890410958904,0.36877577129813705,0.025584916427361756,0.0,,,0.5103631137062434,0.024932795993430467,0.07280361224166929,0.007974423651660054,7.91237608132935,0.03910212908222712,0.002447220990884722,0.0,0.0,0.0
34x234,e2e_wc,task_only,native_w_analog_sum,3,,0.26887331250124064,,,,0.36877577129813705,,,,,0.0,0.024932795993430467,0.0,0.0,0.0,0.03910212908222712,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_only,probe_analog_sum,3,,0.03704404847981795,,,,0.40106812826743243,,,,,0.0,0.02043076430103283,0.0,0.0,0.0,0.0097717630240714,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_only,probe_bipolar_lif_beta05_cap1,3,0.08732788454458434,0.03704404847981795,0.049030235551467155,0.0013644981960091304,1.3538812785388128,0.40106812826743243,0.0,0.8082191780821918,0.18662169758291172,0.1467116357504216,0.151256332948729,0.02043076430103283,0.02361597141015571,0.0023633802023238907,2.3449911618455346,0.0097717630240714,0.0,0.3321741274789628,0.32323826200835704,0.2541120071812687
34x234,e2e_wc,task_only,probe_if_beta1_cap1,3,1.5493704440026506,0.03704404847981795,1.2102845294260658,0.024208913187541415,24.02054794520548,0.40106812826743243,0.0,0.0091324200913242,,,0.7445851582497827,0.02043076430103283,0.45581894201182,0.011634143097652854,11.543619902043718,0.0097717630240714,0.0,0.015817815594236322,0.0,0.0
34x234,e2e_wc,task_only,probe_lif_beta05_cap1,3,0.037846992121346,0.03704404847981795,0.0910024070232723,0.0005913592518960312,0.5867579908675798,0.40106812826743243,0.0,0.8401826484018264,,,0.06555291326783028,0.02043076430103283,0.04046872513485292,0.001024264269809848,1.0162946519296836,0.0097717630240714,0.0,0.27681177289913567,0.0,0.0
34x234,e2e_wc,task_only,probe_lif_beta05_cap31,3,0.037846992121346,0.03704404847981795,0.0910024070232723,0.0005913592518960312,0.5867579908675798,0.40106812826743243,0.0,0.8401826484018264,,,0.06555291326783028,0.02043076430103283,0.04046872513485292,0.001024264269809848,1.0162946519296836,0.0097717630240714,0.0,0.27681177289913567,0.0,0.0
34x234,e2e_wc,task_plus_reg,native_e2e_lif,3,8.746336794050512,0.2917314191268168,0.5207531003529642,0.13666151240703925,135.59817351598176,0.40316894926735886,0.025451457919151755,0.0,,,0.24865149026098982,0.02142280553157192,0.05612991256687164,0.003885179535327966,3.854949645244882,0.019509287574755115,0.0029900623904029946,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,native_w_analog_sum,3,,0.2917314191268168,,,,0.40316894926735886,,,,,0.0,0.02142280553157192,0.0,0.0,0.0,0.019509287574755115,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,probe_analog_sum,3,,0.02611537674561551,,,,0.4046853140416759,,,,,0.0,0.007410352154908991,0.0,0.0,0.0,0.005532371119080363,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,probe_bipolar_lif_beta05_cap1,3,0.0,0.02611537674561551,0.03747787478635725,0.0,0.0,0.4046853140416759,0.0,1.0,0.0,0.0,0.0,0.007410352154908991,0.010767775046331043,0.0,0.0,0.005532371119080363,0.0,0.0,0.0,0.0
34x234,e2e_wc,task_plus_reg,probe_if_beta1_cap1,3,1.1183270745895,0.02611537674561551,0.9385285104607485,0.017473860540460937,17.337899543378995,0.4046853140416759,0.0,0.0273972602739726,,,0.29894789264659827,0.007410352154908991,0.18496629259519598,0.004671060822603098,4.634716130175173,0.005532371119080363,0.0,0.02985547221603201,0.0,0.0
