contrast,architecture,training_family,source,regularization,metric,n,delta_mean,delta_std
reg_minus_task_only,34x345,e2e_wc,post_output_fixed250,,macro_f1,3,-0.046446980126910585,0.12833098766534526
reg_minus_task_only,34x345,e2e_wc,pre_output_fixed250,,accuracy,3,-0.013698630136986282,0.03138750475997155
reg_minus_task_only,34x345,e2e_wc,pre_output_fixed250,,balanced_accuracy,3,-0.011376586376586359,0.03058548972732567
reg_minus_task_only,34x345,e2e_wc,pre_output_fixed250,,macro_f1,3,-0.011005269036695797,0.03240146005749391
reg_minus_task_only,34x345,local_tsce,l2_fixed250,,accuracy,3,0.03881278538812786,0.03514795506470471
reg_minus_task_only,34x345,local_tsce,l2_fixed250,,balanced_accuracy,3,0.039548877048876996,0.03454498404403107
reg_minus_task_only,34x345,local_tsce,l2_fixed250,,macro_f1,3,0.04139471526985524,0.03377840346879167
reg_minus_task_only,34x345,local_tsce,temporary_analog_head,,accuracy,3,0.0,0.013698630136986356
reg_minus_task_only,34x345,local_tsce,temporary_analog_head,,balanced_accuracy,3,0.003957847707847702,0.019326767199165252
reg_minus_task_only,34x345,local_tsce,temporary_analog_head,,macro_f1,3,0.004849216087806844,0.032954090673988974
reg_minus_task_only,34x45,e2e_wc,e2e_wholecount,,accuracy,3,0.004566210045662118,0.05231250793328585
reg_minus_task_only,34x45,e2e_wc,e2e_wholecount,,balanced_accuracy,3,-0.0004157879157880018,0.046107000242148026
reg_minus_task_only,34x45,e2e_wc,e2e_wholecount,,macro_f1,3,-0.007183252635840205,0.06263411621007407
reg_minus_task_only,34x45,e2e_wc,l2_fixed250,,accuracy,3,-0.011415525114155223,0.03514795506470465
reg_minus_task_only,34x45,e2e_wc,l2_fixed250,,balanced_accuracy,3,-0.013887501387501352,0.0427621222875584
reg_minus_task_only,34x45,e2e_wc,l2_fixed250,,macro_f1,3,-0.010081455297244616,0.03996968223735447
reg_minus_task_only,34x45,e2e_wc,post_output_fixed250,,accuracy,3,-0.0136986301369863,0.0068493150684931225
reg_minus_task_only,34x45,e2e_wc,post_output_fixed250,,balanced_accuracy,3,-0.018424862174862167,0.013926581217421123
reg_minus_task_only,34x45,e2e_wc,post_output_fixed250,,macro_f1,3,-0.02050277637304071,0.03216917252550768
reg_minus_task_only,34x45,e2e_wc,pre_output_fixed250,,accuracy,3,-0.002283105022831059,0.03236860017981241
reg_minus_task_only,34x45,e2e_wc,pre_output_fixed250,,balanced_accuracy,3,-0.00734427609427607,0.029781063097357122
